Date,Close
14/05/2015,48.720001
15/05/2015,48.299999
18/05/2015,48.009998
19/05/2015,47.580002
20/05/2015,47.580002
21/05/2015,47.419998
22/05/2015,46.900002
26/05/2015,46.59
27/05/2015,47.610001
28/05/2015,47.450001
29/05/2015,46.860001
01/06/2015,47.23
02/06/2015,46.919998
03/06/2015,46.849998
04/06/2015,46.360001
05/06/2015,46.139999
08/06/2015,45.73
09/06/2015,45.650002
10/06/2015,46.610001
11/06/2015,46.439999
12/06/2015,45.970001
15/06/2015,45.48
16/06/2015,45.830002
17/06/2015,45.970001
18/06/2015,46.720001
19/06/2015,46.099998
22/06/2015,46.23
23/06/2015,45.91
24/06/2015,45.639999
25/06/2015,45.650002
26/06/2015,45.259998
29/06/2015,44.369999
30/06/2015,44.150002
01/07/2015,44.450001
02/07/2015,44.400002
06/07/2015,44.389999
07/07/2015,44.299999
08/07/2015,44.240002
09/07/2015,44.52
10/07/2015,44.610001
13/07/2015,45.540001
14/07/2015,45.619999
15/07/2015,45.759998
16/07/2015,46.66
17/07/2015,46.619999
20/07/2015,46.919998
21/07/2015,47.279999
22/07/2015,45.540001
23/07/2015,46.110001
24/07/2015,45.939999
27/07/2015,45.349998
28/07/2015,45.34
29/07/2015,46.290001
30/07/2015,46.880001
31/07/2015,46.700001
03/08/2015,46.810001
04/08/2015,47.540001
05/08/2015,47.580002
06/08/2015,46.619999
07/08/2015,46.740002
10/08/2015,47.330002
11/08/2015,46.41
12/08/2015,46.740002
13/08/2015,46.73
14/08/2015,47
17/08/2015,47.32
18/08/2015,47.27
19/08/2015,46.610001
20/08/2015,45.66
21/08/2015,43.07
24/08/2015,41.68
25/08/2015,40.470001
26/08/2015,42.709999
27/08/2015,43.900002
28/08/2015,43.93
31/08/2015,43.52
01/09/2015,41.82
02/09/2015,43.360001
03/09/2015,43.5
04/09/2015,42.610001
08/09/2015,43.889999
09/09/2015,43.07
10/09/2015,43.290001
11/09/2015,43.48
14/09/2015,43.040001
15/09/2015,43.98
16/09/2015,44.299999
17/09/2015,44.25
18/09/2015,43.48
21/09/2015,44.110001
22/09/2015,43.900002
23/09/2015,43.869999
24/09/2015,43.91
25/09/2015,43.939999
28/09/2015,43.290001
29/09/2015,43.439999
30/09/2015,44.259998
01/10/2015,44.610001
02/10/2015,45.57
05/10/2015,46.630001
06/10/2015,46.75
07/10/2015,46.799999
08/10/2015,47.450001
09/10/2015,47.110001
12/10/2015,47
13/10/2015,46.889999
14/10/2015,46.68
15/10/2015,47.009998
16/10/2015,47.509998
19/10/2015,47.619999
20/10/2015,47.77
21/10/2015,47.200001
22/10/2015,48.029999
23/10/2015,52.869999
26/10/2015,54.25
27/10/2015,53.689999
28/10/2015,53.98
29/10/2015,53.360001
30/10/2015,52.639999
02/11/2015,53.240002
03/11/2015,54.150002
04/11/2015,54.400002
05/11/2015,54.380001
06/11/2015,54.919998
09/11/2015,54.16
10/11/2015,53.509998
11/11/2015,53.650002
12/11/2015,53.32
13/11/2015,52.84
16/11/2015,53.77
17/11/2015,52.970001
18/11/2015,53.849998
19/11/2015,53.939999
20/11/2015,54.189999
23/11/2015,54.189999
24/11/2015,54.25
25/11/2015,53.689999
27/11/2015,53.93
30/11/2015,54.349998
01/12/2015,55.220001
02/12/2015,55.209999
03/12/2015,54.200001
04/12/2015,55.91
07/12/2015,55.810001
08/12/2015,55.790001
09/12/2015,54.98
10/12/2015,55.27
11/12/2015,54.060001
14/12/2015,55.139999
15/12/2015,55.200001
16/12/2015,56.130001
17/12/2015,55.700001
18/12/2015,54.130001
21/12/2015,54.830002
22/12/2015,55.349998
23/12/2015,55.82
24/12/2015,55.669998
28/12/2015,55.950001
29/12/2015,56.549999
30/12/2015,56.310001
31/12/2015,55.48
04/01/2016,54.799999
05/01/2016,55.049999
06/01/2016,54.049999
07/01/2016,52.169998
08/01/2016,52.330002
11/01/2016,52.299999
12/01/2016,52.779999
13/01/2016,51.639999
